sensor_id,lat,lon,mean_pm
3,-1.311,36.767,4.890583418628455
3,-1.288,36.841,18.12345376723107
3,-1.259,36.799,847.4047348452914
21,-1.292,36.821,10.243
23,-1.298,36.791,16.374025974025976
23,-1.259,36.799,18.45
25,-1.298,36.791,8.991787299158377
25,-1.288,36.841,4.605833333333334
25,-1.287,36.811,18.848987910189983
27,-1.322,36.797,13.988475704459729
27,-1.306,36.733,12.605144922011984
35,-1.259,36.799,5.634293103448275
36,-1.259,36.799,3.466666666666667
40,-1.298,36.791,9.00647416434492
41,-1.298,36.791,9.912918756268807
42,-1.259,36.799,10.934212375033773
43,-1.298,36.791,12.95689075630252
43,-1.253,36.854,4.381284739151633
44,-1.32,36.885,72.08359478791357
44,-1.298,36.791,62.82762943666558
46,-1.301,36.754,12.90938792271791
47,-1.259,36.799,10.10862398966194
49,-1.383,36.939,10.382881588808393
49,-1.298,36.791,7.460434195725534
49,-1.287,36.811,14.67384392486011
49,-1.255,36.694,13.080000000000002
51,-1.306,36.773,9.095620040816495
51,-1.291,36.658,12.106210526315788
51,-1.291,36.725,16.25984775343483
53,-1.316,36.872,48.07522058823529
53,-1.306,36.773,13.357906314699791
53,-1.298,36.791,17.245
53,-1.291,36.725,10.268351631664466
55,-1.298,36.791,7.379545454545454
55,-1.29,36.777,8.047024347221852
57,-1.3,36.785,8.149287639431066
59,-1.298,36.791,18.407909604519773
59,-1.291,36.781,6.239740241528359
61,-1.298,36.791,7.655294117647059
61,-1.293,36.769,3.0613906306523573
69,-1.365,36.914,6.889294073739932
69,-1.298,36.791,7.975550655008603
69,-1.26,36.793,6.463948726357792
69,-1.22,36.879,0.2472191444886933
71,-1.298,36.791,15.752099076406381
71,-1.297,36.743,7.9144267699230815
73,-1.298,36.791,12.477617647058823
73,-1.206,36.781,10.624373120255884
75,-1.298,36.791,8.200909846281679
75,-1.251,36.923,7.478654197080291
77,-1.298,36.791,7.293284230606188
77,-1.215,36.862,6.87626652838994
79,-1.298,36.791,11.347640555906505
79,-1.29,36.777,6.5094141925096425
81,-1.298,36.791,12.125336956521739
81,-1.255,36.694,12.99693051315598
83,-1.298,36.791,8.94875
84,-1.298,36.791,7.391877997384101
84,-1.26,36.793,18.62636111111111
86,-1.298,36.791,6.526231884057971
86,-1.207,36.658,7.20331410306385
87,-1.298,36.791,6.939215997256634
89,-1.327,36.882,5.7402089724778795
89,-1.298,36.791,10.26562987130687
89,-1.291,36.733,8.458427065026363
91,-1.446,37.001,8.021824305555555
91,-1.298,36.791,7.522093249150073
93,-1.316,36.87,13.935285672428947
93,-1.298,36.791,9.875723830734966
93,-1.292,36.821,9.619962304201433
96,-1.301,36.754,6.497456622936944
96,-1.298,36.791,10.96718244803695
96,-1.297,36.755,11.578808421357257
97,-1.316,36.79,10.498049482163406
97,-1.316,36.87,4.650240963855422
97,-1.298,36.791,9.974329896907218
100,-1.364,36.914,10.944983727381059
100,-1.298,36.791,2.9968401486988845
100,-1.292,36.821,10.812083333333334
101,-1.298,36.791,3.2675
101,-1.218,36.887,3.9526760217448254
103,-1.316,36.87,7.55681772502938
103,-1.298,36.791,14.228297385776166
106,-1.298,36.791,4.39
106,-1.267,36.8,8.671537601341907
108,-1.364,36.915,9.820069651741294
108,-1.316,36.87,13.422981844856043
108,-1.298,36.791,13.595118912797282
109,-1.298,36.791,2.203128558951364
109,-1.292,36.821,7.170748571428571
109,-1.261,36.772,2.0032510049002505
109,-1.22,36.879,8.0
112,-1.316,36.793,20.31002591952604
112,-1.298,36.791,8.001
112,-1.22,36.879,8.06625
114,-1.292,36.821,6.3873364601333
114,-1.291,36.725,16.81737976782753
116,-1.365,36.912,13.263115374575829
116,-1.298,36.791,6.036884057971014
118,-1.298,36.791,6.030552659019812
118,-1.292,36.821,7.334390934844192
120,-1.446,37.001,27.66320831764604
120,-1.298,36.791,5.573214285714285
120,-1.235,36.854,3.7340406320541764
122,-1.298,36.791,7.091303635280096
123,-1.298,36.791,11.639872611464968
123,-1.217,36.776,12.895997739291914
125,-1.298,36.791,6.2
128,-1.376,36.929,5.055659682288671
128,-1.298,36.791,7.697616580310881
129,-1.298,36.791,6.332542372881356
130,-1.298,36.791,8.357684031710079
132,-1.364,36.915,7.004452252188146
132,-1.298,36.791,8.270753450205147
134,-1.298,36.791,14.229840868530635
138,-1.383,36.939,9.167266959358097
138,-1.298,36.791,7.542595822348408
140,-1.383,36.939,8.494955847738415
140,-1.298,36.791,7.385894827959317
142,-1.298,36.791,4.482192982456141
142,-1.207,36.782,22.017665500538214
144,-1.33,36.866,4.398965990964394
144,-1.298,36.791,4.5470343548110135
146,-1.298,36.791,32.775152027027026
150,-1.298,36.791,16.54697034988542
152,-1.298,36.791,10.954046772281496
154,-1.298,36.791,10.392442916681508
156,-1.298,36.791,15.27249219469006
